Language,Code,Number of Responses,H Statistic,word,Modal Response Percentage,I don't know Response Percentage,Idiosyncratic Response Percentage,Familiarity,word_english,newfile,oldfile
Czech,1,83,0.167026804,myš,97.5308642,0,2.409638554,85.31325301,mouse,myš.png,PICTURE_1.png
Czech,4,83,1.091464905,oltář,63.01369863,3.614457831,8.43373494,68.02409639,church,oltář.png,PICTURE_4.png
Czech,5,83,1.074782068,rameno,75,1.204819277,2.409638554,84.90361446,shoulder,rameno.png,PICTURE_5.png
Czech,6,83,0.465069845,brada,90.12345679,0,2.409638554,90.54216867,chin,brada.png,PICTURE_6.png
Czech,7,83,0,víla,100,0,3.614457831,69.68674699,fairy,víla.png,PICTURE_7.png
Czech,8,83,0.394203354,noha,93.82716049,0,2.409638554,93.71084337,leg,noha.png,PICTURE_8.png
Czech,9,83,1.181373668,sprcha,60.24096386,0,0,92.19277108,shower,sprcha.png,PICTURE_9.png
Czech,11,83,0.895374922,hamburger,78.31325301,0,0,88.85542169,burger,hamburger.png,PICTURE_11.png
Czech,12,83,1.014939788,mořská panna,82.27848101,0,4.819277108,67.5060241,mermaid,mořská panna.png,PICTURE_12.png
Czech,14,83,0,župan,100,0,0,87.20481928,dressing gown,župan.png,PICTURE_14.png
Czech,15,83,0,lev,100,0,0,79.48192771,lion,lev.png,PICTURE_15.png
Czech,16,83,1.62264257,lovec,52.5,0,3.614457831,68.59036145,hunter,lovec.png,PICTURE_16.png
Czech,17,83,1.249868522,čert,62.65060241,0,0,70.79518072,devil,čert.png,PICTURE_17.png
Czech,19,83,0.553694818,krocan,91.46341463,0,1.204819277,78.44578313,turkey,krocan.png,PICTURE_19.png
Czech,20,83,0.461216041,kostra,90.24390244,0,1.204819277,80.62650602,skeleton,kostra.png,PICTURE_20.png
Czech,21,83,0.339712371,boxer,94.93670886,0,3.658536585,74.69879518,boxer,boxer.png,PICTURE_21.png
Czech,23,83,0.331305613,kolo,93.90243902,0,0,91,bike,kolo.png,PICTURE_23.png
Czech,24,83,0,kost,100,0,0,85.63855422,bone,kost.png,PICTURE_24.png
Czech,26,83,0,cibule,100,1.204819277,1.204819277,89.21686747,onion,cibule.png,PICTURE_26.png
Czech,28,83,0,mikroskop,100,0,1.204819277,80.19277108,microscope,mikroskop.png,PICTURE_28.png
Czech,29,83,0.784961835,kovboj,83.75,1.204819277,2.409638554,72.87951807,cowboy,kovboj.png,PICTURE_29.png
Czech,30,83,0.74090655,farma,83.75,0,3.614457831,79.30120482,farm,farma.png,PICTURE_30.png
Czech,32,83,0.167026804,koruna,97.5308642,1.204819277,1.204819277,78.40963855,crown,koruna.png,PICTURE_32.png
Czech,35,83,0,ucho,100,0,0,93.8313253,ear,ucho.png,PICTURE_35.png
Czech,38,83,0,pavouk,100,0,3.614457831,83.75903614,spider,pavouk.png,PICTURE_38.png
Czech,39,83,0,kapsa,100,0,6.024096386,88.57831325,pocket,kapsa.png,PICTURE_39.png
Czech,42,83,0,hruška,100,0,0,91.95180723,pear,hruška.png,PICTURE_42.png
Czech,43,83,0.991501787,hřeben,55.42168675,0,0,89.20481928,hairbrush,hřeben.png,PICTURE_43.png
Czech,46,83,0,šroubovák,100,0,0,85.53012048,screwdriver,šroubovák.png,PICTURE_46.png
Czech,47,83,0,poušť,100,0,2.409638554,73.27710843,desert,poušť.png,PICTURE_47.png
Czech,48,83,0.390509918,hasič,93.90243902,0,1.204819277,80.55421687,fireman,hasič.png,PICTURE_48.png
Czech,52,83,0,pila,100,0,1.204819277,84.8313253,saw,pila.png,PICTURE_52.png
Czech,53,83,0,taška,100,0,0,90.39759036,bag,taška.png,PICTURE_53.png
Czech,55,83,0,stín,100,0,1.204819277,90.03614458,shadow,stín.png,PICTURE_55.png
Czech,56,83,0,loket,100,0,0,93.27710843,elbow,loket.png,PICTURE_56.png
Czech,57,83,0.329974284,známka,95.12195122,0,1.204819277,82.68674699,stamp,známka.png,PICTURE_57.png
Czech,61,83,0.48217919,noviny,92,1.219512195,7.317073171,83.6746988,newspaper,noviny.png,PICTURE_61.png
Czech,62,83,0.613377897,vosa,88.88888889,0,2.409638554,84.43373494,wasp,vosa.png,PICTURE_62.png
Czech,63,83,0.771972584,balkon,84.14634146,0,1.204819277,82.81927711,balcony,balkon.png,PICTURE_63.png
Czech,64,83,0.163860513,knoflík,97.59036145,0,0,89.02409639,button,knoflík.png,PICTURE_64.png
Czech,66,83,0.165427034,střecha,97.56097561,0,1.204819277,87.97590361,roof,střecha.png,PICTURE_66.png
Czech,67,83,1.360964047,gauč,50,0,3.614457831,91.40963855,sofa,gauč.png,PICTURE_67.png
Czech,68,83,0,svíčka,100,0,0,90.04819277,candle,svíčka.png,PICTURE_68.png
Czech,69,83,0,banán,100,0,0,95.01204819,banana,banán.png,PICTURE_69.png
Czech,70,83,0.828665857,orchestr,85.13513514,0,10.84337349,81.18072289,orchestra,orchestr.png,PICTURE_70.png
Czech,71,83,0.723189323,pohár,84.3373494,0,0,79.60240964,trophy,pohár.png,PICTURE_71.png
Czech,72,83,0.340373286,sýr,93.67088608,0,4.819277108,90.95180723,cheese,sýr.png,PICTURE_72.png
Czech,73,83,0.173781323,vlna,97.4025974,2.409638554,4.819277108,79.13253012,wave,vlna.png,PICTURE_73.png
Czech,74,83,0,traktor,100,0,0,81.34939759,tractor,traktor.png,PICTURE_74.png
Czech,75,83,0,balónek,100,0,0,86.38554217,balloon,balónek.png,PICTURE_75.png
Czech,76,83,0.331305613,brokolice,93.90243902,0,1.204819277,85.97590361,broccoli,brokolice.png,PICTURE_76.png
Czech,77,83,0,velbloud,100,0,1.204819277,77.37349398,camel,velbloud.png,PICTURE_77.png
Czech,78,83,0,klíč,100,0,0,92.93975904,key,klíč.png,PICTURE_78.png
Czech,79,83,0,klávesnice,100,0,0,94.1686747,keyboard,klávesnice.png,PICTURE_79.png
Czech,80,83,0.882758679,vrtulník,69.87951807,0,0,79.07228916,helicopter,vrtulník.png,PICTURE_80.png
Czech,81,83,0.346563258,maso,94.80519481,1.204819277,6.024096386,80.65060241,meat,maso.png,PICTURE_81.png
Czech,82,83,0.881290899,park,70,0,3.614457831,88.77108434,park,park.png,PICTURE_82.png
Czech,83,83,0.163860513,srdce,97.59036145,0,0,91.46987952,heart,srdce.png,PICTURE_83.png
Czech,84,83,0,maska,100,0,1.204819277,77.48192771,mask,maska.png,PICTURE_84.png
Czech,85,83,0.920701076,diamant,82.92682927,0,1.204819277,77.48192771,diamond,diamant.png,PICTURE_85.png
Czech,86,83,0.508284032,řeka,91.13924051,0,4.819277108,87.3373494,river,řeka.png,PICTURE_86.png
Czech,87,83,0,robot,100,0,1.204819277,78.18072289,robot,robot.png,PICTURE_87.png
Czech,88,83,0.950779919,berle,73.4939759,0,0,81.20481928,crutches,berle.png,PICTURE_88.png
Czech,90,83,0.377646321,měsíc,92.68292683,0,0,87.84337349,moon,měsíc.png,PICTURE_90.png
Czech,91,83,1.387587043,ústa,67.90123457,0,2.409638554,90.57831325,mouth,ústa.png,PICTURE_91.png
Czech,92,83,1.177079476,tuleň,60.97560976,0,0,72.12048193,seal,tuleň.png,PICTURE_92.png
Czech,96,83,0.401825855,mléko,93.67088608,0,4.819277108,90.13253012,milk,mléko.png,PICTURE_96.png
Czech,97,83,0.848517797,pírko,84.3373494,0,0,82.24096386,feather,pírko.png,PICTURE_97.png
