"Start_Date","End_Date","Response_Type","Progress","Duration_in_seconds","Finished","Recorded_Date","Response_ID","Recipient_Last_Name","Recipient_First_Name","Recipient_Email","External_Data_Reference","Distribution_Channel","User_Language","vaše_jméno","day_pondělí","day_úterý","day_středa","day_čtvrtek","day_pátek"
"29/01/21 5:46","29/01/21 5:47","Survey Preview",50,3,FALSE,"29/01/21 5:47","R_3fSMxPtBjcN4Qyw",NA,NA,NA,NA,"preview","CS","anonymised18",NA,NA,NA,NA,NA
"29/01/21 6:35","29/01/21 6:36","IP Address",100,68,TRUE,"29/01/21 6:36","R_2QQk6UcLe88aTe1",NA,NA,NA,NA,"anonymous","CS","anonymised04","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm"
"29/01/21 6:59","29/01/21 7:01","IP Address",100,112,TRUE,"29/01/21 7:01","R_1KoQaiwsGfgbWEB",NA,NA,NA,NA,"anonymous","CS","anonymised03","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am","12.00-1.30pm,1.30-3.00pm"
"29/01/21 8:06","29/01/21 8:07","IP Address",100,71,TRUE,"29/01/21 8:07","R_2s0T5JRn04eUlnN",NA,NA,NA,NA,"anonymous","CS","anonymised08",NA,"9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm"
"29/01/21 6:55","29/01/21 8:30","IP Address",100,5695,TRUE,"29/01/21 8:30","R_2tLSrZwE4o6vBJQ",NA,NA,NA,NA,"anonymous","CS","anonymised07","9.00-10.30am,10.30am-12.00pm",NA,NA,"10.30am-12.00pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm"
"29/01/21 10:02","29/01/21 10:44","IP Address",100,2524,TRUE,"29/01/21 10:44","R_2YupkPLIcgKCxiH",NA,NA,NA,NA,"anonymous","CS","anonymised16","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm",NA,"9.00-10.30am,1.30-3.00pm","10.30am-12.00pm,12.00-1.30pm"
"29/01/21 12:48","29/01/21 13:33","IP Address",100,2700,TRUE,"29/01/21 13:33","R_2dsWX5bP2ndXQWG",NA,NA,NA,NA,"anonymous","CS","anonymised13",NA,NA,"9.00-10.30am,10.30am-12.00pm","9.00-10.30am,10.30am-12.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm"
"30/01/21 0:17","30/01/21 0:19","IP Address",100,119,TRUE,"30/01/21 0:19","R_1IhG4rCiGoVZ6zP",NA,NA,NA,NA,"anonymous","CS","anonymised01","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm","9.00-10.30am,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm","9.00-10.30am,10.30am-12.00pm","9.00-10.30am,10.30am-12.00pm"
"30/01/21 3:54","30/01/21 3:59","IP Address",100,281,TRUE,"30/01/21 3:59","R_1oC2wzjuNJOMAO9",NA,NA,NA,NA,"anonymous","CS","anonymised17","9.00-10.30am,10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm"
"30/01/21 7:46","30/01/21 7:47","IP Address",100,55,TRUE,"30/01/21 7:47","R_3gYGKYmb38Pzhvh",NA,NA,NA,NA,"anonymous","CS","anonymised02","9.00-10.30am,10.30am-12.00pm","1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm","9.00-10.30am","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm"
"30/01/21 9:10","30/01/21 9:19","IP Address",100,552,TRUE,"30/01/21 9:19","R_3JBZFLVPpu7JHrP",NA,NA,NA,NA,"anonymous","CS","anonymised05","12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","1.30-3.00pm,3.00-4.30pm","12.00-1.30pm,1.30-3.00pm","12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","12.00-1.30pm,1.30-3.00pm,3.00-4.30pm"
"31/01/21 1:57","31/01/21 2:01","IP Address",100,272,TRUE,"31/01/21 2:01","R_1OTZxaRnsW6Jh9W",NA,NA,NA,NA,"anonymous","CS","anonymised15","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm"
"31/01/21 4:07","31/01/21 4:09","IP Address",100,145,TRUE,"31/01/21 4:09","R_Oxlo9GHFu5kkRUd",NA,NA,NA,NA,"anonymous","CS","anonymised12","10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm","1.30-3.00pm,3.00-4.30pm","10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm",NA,"10.30am-12.00pm"
"31/01/21 15:45","31/01/21 15:46","IP Address",100,81,TRUE,"31/01/21 15:46","R_1lo5I1NYFlXSnhS",NA,NA,NA,NA,"anonymous","CS","anonymised09","12.00-1.30pm,1.30-3.00pm",NA,"9.00-10.30am,10.30am-12.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm"
"1/02/21 0:49","1/02/21 0:51","IP Address",100,100,TRUE,"1/02/21 0:51","R_uvI0qRhoqeGIltn",NA,NA,NA,NA,"anonymous","CS","anonymised10","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm","9.00-10.30am","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm",NA,"9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm"
"1/02/21 6:56","1/02/21 7:10","IP Address",100,832,TRUE,"1/02/21 7:10","R_1DCsILoCVPZfxJG",NA,NA,NA,NA,"anonymous","CS","anonymised06","12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","1.30-3.00pm,3.00-4.30pm",NA,"9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm"
"5/02/21 5:47","5/02/21 6:59","IP Address",100,4306,TRUE,"5/02/21 6:59","R_DP4nseEopFGGjUB",NA,NA,NA,NA,"anonymous","CS","anonymised14","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm","9.00-10.30am","10.30am-12.00pm","9.00-10.30am,10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm","9.00-10.30am,10.30am-12.00pm,1.30-3.00pm,3.00-4.30pm"
"9/02/21 2:18","9/02/21 2:19","IP Address",100,45,TRUE,"9/02/21 2:19","R_2cAcEYRVZ2aEcRU",NA,NA,NA,NA,"anonymous","CS","anonymised11","10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm","10.30am-12.00pm,12.00-1.30pm,1.30-3.00pm,3.00-4.30pm"
