"word","freq"
"data",80
"can",41
"plot",37
"variables",37
"will",32
"visualisation",23
"anscombe",23
"ggplot",20
"code",20
"using",18
"useful",18
"mean",18
"look",17
"dataset",16
"one",16
"get",16
"need",16
"add",16
"aesx",16
"geompoint",15
"now",15
"let’s",15
"source",14
"way",14
"first",13
"visualisations",13
"information",13
"make",12
"want",12
"layer",12
"see",11
"different",11
"raw",11
"continuous",10
"two",10
"use",10
"just",10
"might",10
"argument",10
"geomsmoothmethod",10
"plots",9
"geomsmooth",9
"example",9
"may",9
"know",9
"note",9
"variable",9
"correlation",9
"points",9
"participant",9
"categorical",8
"next",8
"visualise",8
"adding",8
"really",8
"also",8
"try",8
"exploration",7
"principles",7
"colour",7
"instead",7
"interested",7
"work",7
"standard",7
"number",7
"ggplotdata",7
"numberofwords",7
"days",7
"yearsinnz",7
"making",6
"layers",6
"alpha",6
"anything",6
"ways",6
"following",6
"used",6
"line",6
"values",6
"data…",6
"change",6
"another",6
"tip",6
"aesthetics",6
"axis",6
"aes",6
"levels",6
"anscombelongx",6
"value",6
"geoms",5
"geomerrorbar",5
"explore",5
"informative",5
"choices",5
"important",5
"still",5
"always",5
"inside",5
"part",5
"sort",5
"help",5
"suitable",5
"deviation",5
"numeric",5
"run",5
"bottom",5
"let",5
"true",5
"represent",5
"type",5
"time",5
"myplot",5
"specify",5
"anscombesummaryx",5
"bar",5
"width",5
"geombar",4
"geomboxplot",4
"geomjitter",4
"geomline",4
"facet",4
"modify",4
"quickly",4
"tweet",4
"focus",4
"tidyverse",4
"produced",4
"basic",4
"etc",4
"made",4
"like",4
"often",4
"particularly",4
"statistics",4
"types",4
"results",4
"lot",4
"great",4
"much",4
"notice",4
"anscombe’s",4
"quartet",4
"things",4
"top",4
"features",4
"lines",4
"function",4
"thing",4
"new",4
"region",4
"identity",4
"extra",4
"boxplot",4
"ggplotwordlearning",4
"narm",4
"day",3
"practical",3
"figure",3
"design",3
"clearly",3
"package",3
"produce",3
"update",3
"better",3
"researcher",3
"simply",3
"text",3
"steps",3
"getting",3
"good",3
"imagine",3
"questions",3
"step",3
"descriptive",3
"lots",3
"possible",3
"process",3
"sometimes",3
"available",3
"impact",3
"means",3
"show",3
"thus",3
"trying",3
"tell",3
"code…",3
"running",3
"…",3
"approach",3
"summary",3
"rows",3
"related",3
"selectx",3
"summariseallfunsmean",3
"don’t",3
"relationship",3
"quite",3
"interesting",3
"plotted",3
"visually",3
"designed",3
"showing",3
"whilst",3
"longer",3
"producing",3
"though",3
"misleading",3
"aspect",3
"building",3
"blank",3
"order",3
"brackets",3
"done",3
"nice",3
"normally",3
"geom",3
"scatterplot",3
"language",3
"visualising",3
"version",3
"changing",3
"plotting",3
"less",3
"datasets",3
"long",3
"ggplotanscombesummaryx",3
"geombarstat",3
"happens",3
"height",3
"course",3
"years",3
"geomlineaesgroup",3
"introduction",2
"learning",2
"outcomes",2
"buildingblocks",2
"conceptual",2
"joys",2
"start",2
"things…",2
"revolution",2
"introducing",2
"customising",2
"geomtextwordcloud",2
"able",2
"best",2
"present",2
"audience",2
"requires",2
"technology",2
"understand",2
"additional",2
"analysing",2
"analysis",2
"continue",2
"learnt",2
"today",2
"yesterday",2
"httpadilmoujahidcompoststwitteranalytics",2
"drink",2
"give",2
"never",2
"straight",2
"coffeedata",2
"httpssmediaflyelpcdncombphotosusviyptzifadzzooalsjpg",2
"fancy",2
"inform",2
"key",2
"looking",2
"numbers",2
"representations",2
"summaries",2
"decisions",2
"range",2
"science",2
"httpphdcomicscomcomicsphpf",2
"else",2
"problems",2
"around",2
"load",2
"correlations",2
"button",2
"looks",2
"dplyr",2
"summariseallmean",2
"spread",2
"reads",2
"output",2
"corx",2
"summarisecorrelationxy",2
"coefficient",2
"hint",2
"well",2
"draw",2
"paper",2
"relationships",2
"think",2
"separate",2
"four",2
"sets",2
"carefully",2
"highlights",2
"question",2
"researchers",2
"affect",2
"outlier",2
"removed",2
"xy…",2
"accurate",2
"certain",2
"challenging",2
"httpjoeystanleycomdownloadsggplotpartpdf",2
"httpsxkcdcom",2
"via",2
"axes",2
"read",2
"reader",2
"httpbabieslearninglanguageblogspotcomdontbarbarplotsusehtml",2
"poor",2
"mistakes",2
